 TRAIN LES STLD STMD AMBASLAT AMLAT ENTORH PERIRH CA1 CA3 DG CINGULAR PRELIMB SOMSENS SUBICULUM ACCCORE ACCSHELL VISUAL PIRIFORM PARIETAL RETROSPLEN D1 D2 D3 D4 D5 
 "D5 " "H " 2575.5787788 1343.7239282 780.39687016 1097.9460065 494.90883796 872.2256248 NA NA NA 2041.7037189 787.38757032 1122.4048526 198.29798835 763.310434 200.24140628 2356.8211194 1502.4652604 1191.6545453 694.3205167 39.75 21.41125 20.02125 13.55875 14.46375
 "D5 " "H " 2063.8801758 1554.9980542 936.97579285 1220.4230422 319.91477588 523.14644964 NA NA NA 1763.925715 902.66388532 910.51110191 585.58759217 893.29752754 283.85511759 2086.9183525 1216.0405195 1954.102204 661.92112392 48.02875 20.52 13.28375 18.1275 14.99625
 "D5 " "H " 2078.9927239 873.8015835 491.36543992 1267.1137572 172.14223872 414.69737252 NA NA NA 1568.5532336 1359.3260783 669.74222128 0 1143.9672207 352.5346748 2483.6562366 1277.7869962 1215.844116 211.50701549 31.4475 36.67625 33.5525 23.22625 16.83125
 "D5 " "H " 1492.2731246 796.80966728 471.46193253 1367.6256104 342.24585704 546.09091119 NA NA NA 1696.4146378 990.89979752 489.38591731 390.68105344 602.38198779 104.94274705 1580.2455378 1392.9565843 1418.5282131 182.07045331 37.5375 39.69625 23.655 13.48 11.98875
 "D5 " "H " 1466.8413674 1145.4067103 411.01209128 921.98315637 446.01656058 1013.0865564 NA NA NA 2187.2375075 613.46460605 580.41809127 50.128499395 700.96790267 819.79692847 947.06004319 988.2248185 311.85062954 131.4129028 40.025 19.93875 18.62375 9.56375 8.35875
 "D5 " "H " 2129.6703296 1015.8409156 306.53093442 904.42626213 407.14660141 960.89704809 NA NA NA 1619.5530229 544.82173089 806.09024087 389.05830874 390.52768388 225.55579383 706.63627827 515.21619378 367.61260538 270.39861321 44.15875 27.4275 19.2975 18.9 10.033
 "D3 " "H " 19.631678497 613.40440242 12.739769667 229.05714561 91.724642257 453.80864595 NA NA NA 1189.0509468 302.70551333 295.80710834 30.394445522 0 0 1650.0002281 290.76140481 699.04262912 30.174909352 38.455 31.34125 20.06875 NA NA 
 "D3 " "H " 2236.0769898 1268.1459891 341.25102832 729.08290417 415.7691002 509.17631363 NA NA NA 974.83260516 510.97579412 763.27006116 76.244278995 499.21100197 371.69840748 727.26511361 680.28563265 1195.5320944 121.22470805 36.06 31.03125 17.0425 NA NA 
 "D3 " "H " 582.83526699 731.96151057 229.40977477 776.59616362 286.12744421 709.55607394 NA NA NA 890.95062195 377.26991182 1248.5505701 109.39313647 421.90587968 393.89280894 1135.8754348 1075.2905611 616.52533974 58.442500808 25.7325 27.72125 19.04375 NA NA 
 "D3 " "H " 1077.5383133 737.61797543 210.0732657 537.35997076 194.47331833 239.68073042 NA NA NA 1469.8007371 519.55473737 1093.7164877 3.5179384307 60.961367302 132.41394847 483.80341729 998.24829658 971.3159493 293.54620486 51.29 27.79125 39.07875 NA NA 
 "D3 " "H " 1489.3746725 1068.3961484 233.193696 549.43862482 225.42336773 568.3275911 NA NA NA 794.78788883 728.44302054 801.50704667 231.5031402 293.74147295 174.79479828 1289.0062206 649.29026426 779.48849833 666.4600901 37.21375 19.4125 15.61875 NA NA 
 "D3 " "H " 1687.1248626 1850.6294073 559.49422954 964.75503432 382.03887039 873.31788012 NA NA NA 1522.2635968 583.4597959 1170.5920075 238.45322898 716.92129428 188.20150203 795.24248258 729.41911244 654.31085869 383.16501744 42.67 23.43375 21.39375 NA NA 
 "D3 " "H " 1359.7338595 1081.5922458 242.27725533 740.20375999 398.2957197 780.92737649 NA NA NA 1179.412204 768.92572234 1408.0628813 244.1993973 643.18992495 327.22929028 911.16966236 461.51412001 190.94639718 225.11235754 35.25375 28.28375 15.4575 NA NA 
 "D3 " "H " 1527.449554 1553.5218701 190.33886322 951.54921581 103.89285586 328.02827144 NA NA NA 1530.0270668 393.21487405 468.31589663 252.21311923 683.50357545 342.55287675 889.42557747 369.72492058 770.62204871 369.36895186 42.59 23.73875 19.08375 NA NA 
 "D3 " "H " 1504.496693 1628.5230973 481.87629746 830.83183714 276.03487762 594.27404754 NA NA NA 1413.5438471 734.43603767 1061.0880465 255.93692239 620.14792595 448.42252218 1697.8287521 390.27603538 1390.4268072 731.26147651 35.595 28.1225 24.63625 NA NA 
 "D3 " "H " 1844.1578909 1411.1269569 657.61089438 728.790325 537.51699608 621.73336948 NA NA NA 1690.5018374 934.18671912 445.45215845 60.677213722 619.50059794 446.23260758 2060.8394338 819.58419354 1014.4011743 490.25299397 38.18875 23.89 18.6025 NA NA 
 "D3 " "H " 1334.2454992 1173.7788622 623.26431781 995.57011831 561.64069062 763.93511693 NA NA NA 1419.5049327 1221.3623422 1257.3004234 168.78843304 467.51053953 536.74305376 1058.9870811 656.7918242 1388.025567 178.65174152 34.7975 40.18125 27.0675 NA NA 
 "D3 " "H " 956.44905357 666.44006629 105.07087803 370.93455873 216.27491501 149.09119949 NA NA NA 161.77859133 1113.9347849 267.28042817 69.717217577 197.2366125 60.66397126 2578.5550457 205.55602301 1013.7774219 180.70522654 39.42875 42.90875 23.735 NA NA 
 "D3 " "H " 2145.384043 1959.8445106 904.33601932 1412.5148422 517.29181939 739.94996455 NA NA NA 1932.0040668 501.68781578 1657.4182888 927.16774889 1273.1106741 765.37616457 2608.1663282 2156.240269 2107.6320279 1482.6450957 35.24375 49.615 20.04125 NA NA 
 "D3 " "H " 2038.7467633 1468.4872495 873.71290214 1747.0339281 313.0778971 213.58225172 NA NA NA 1522.1914439 1205.6598722 961.03711807 289.70736157 1005.0299387 607.62277089 2349.776063 1054.8969771 1392.1113795 714.21050031 40.6925 30.02375 22.00375 NA NA 
 "D3 " "H " 2098.1669164 1690.2821817 611.48551525 1637.1285731 159.57977133 141.18464288 NA NA NA 1291.7541204 839.97196571 1000.9821329 199.18995409 1211.1382438 1000.6810318 2525.3455156 1455.1874829 930.4257024 178.79583831 40.02 26.7175 30.05125 NA NA 
 "D3 " "H " 2168.4447968 1836.2487162 684.59717389 1361.3641167 401.06620019 235.36004199 NA NA NA 1593.1330754 258.44781987 1206.0895015 51.713521449 708.7601004 338.61933447 2178.3968241 1084.332708 1417.6377658 585.50802548 36.64 30.535 30.19375 NA NA 
 "D3 " "H " 2051.6889951 1636.8039463 771.89944597 1105.8565654 450.91544854 439.70554068 NA NA NA 1001.593244 1002.6614633 1090.0306469 153.6421365 1063.4243746 423.53708846 1143.2052417 1410.1966064 1609.8839043 711.64189621 48.3475 36.45875 28.64125 NA NA 
 "D3 " "H " 2080.8766916 1810.1889714 674.19626027 1431.9131307 495.52609382 494.03322968 NA NA NA 1072.3151347 710.33525569 1233.6413921 155.16132866 955.95737099 1148.3949525 1915.0931587 1396.1458862 798.49965577 698.16546165 22.79625 34.7625 23.13875 NA NA 
 "D3 " "H " 412.7591967 999.87054176 652.45592035 1183.0069636 145.34974565 102.31343955 NA NA NA 746.29735239 616.24037114 1137.722722 652.18270952 408.56287606 595.08793391 1679.0646734 850.64491751 1614.8015112 219.99130351 37.84875 48.3625 35.835 NA NA 
